,customer_id,birth_time,gender,contact_loc,contact_code,register_loc,register_code,start_time,aum,net_profit,credit_card_flag,loan_flag,deposit_flag,wealth_flag,partition_time
17,18,1398420338,M,D,800131,A,30451,3512419200,2243.774319174487,1789.5624741843476,N,N,Y,N,3699475200
18,19,2123748338,M,J,867693,F,60271,3395174400,211.58772728132962,2241.625953388251,Y,N,Y,N,3699475200
19,20,2754468338,M,B,572293,L,40201,3306268800,909.7579537851813,428.1021217831184,Y,N,Y,Y,3699475200
20,21,1556100338,F,J,737023,E,782341,3450384000,11.306140601922461,408.5888623477418,N,N,N,N,3699475200
21,22,2186820338,F,E,899653,L,127093,3593980800,132.47057007862378,35.453130816147215,N,N,Y,Y,3699475200
22,23,1335348338,F,K,93331,J,506233,3422995200,-19.78260247815782,941.3678337979643,Y,N,Y,Y,3699475200
23,24,1524564338,M,I,77563,F,60271,3600028800,1099.409501325509,233.80671399957944,Y,Y,N,N,3699475200
24,25,1902996338,M,D,135057,G,111891,3425846400,619.1938027470284,257.2940159923305,N,N,Y,Y,3699475200
25,26,1083060338,F,I,292141,F,606063,3667420800,169.5509632567094,168.46739724519438,Y,Y,Y,N,3699475200
26,27,1493028338,F,L,232807,D,373933,3623443200,249.8100491408148,654.3481020636433,Y,Y,N,Y,3699475200
27,28,2218356338,F,F,135057,E,814507,3352233600,987.9511097641341,1905.0844765001136,Y,N,N,N,3699475200
28,29,1902996338,F,I,230881,F,30103,3370464000,1591.4769648400954,168.71254508699747,N,Y,N,N,3699475200
29,30,3006756338,M,F,66823,G,14763,3481142400,295.2471591141553,372.2176418710335,N,Y,Y,N,3699475200
30,31,1398420338,M,D,800131,A,30451,3512419200,2243.774319174487,1789.5624741843476,N,N,Y,N,3699475200
31,32,2123748338,M,J,867693,F,60271,3395174400,211.58772728132962,2241.625953388251,Y,N,Y,N,3699475200
32,33,2754468338,M,B,572293,L,40201,3306268800,909.7579537851813,428.1021217831184,Y,N,Y,Y,3699475200
33,34,1556100338,F,J,737023,E,782341,3450384000,11.306140601922461,408.5888623477418,N,N,N,N,3699475200
34,35,2186820338,F,E,899653,L,127093,3593980800,132.47057007862378,35.453130816147215,N,N,Y,Y,3699475200
35,36,1335348338,F,K,93331,J,506233,3422995200,-19.78260247815782,941.3678337979643,Y,N,Y,Y,3699475200
36,37,1524564338,M,I,77563,F,60271,3600028800,1099.409501325509,233.80671399957944,Y,Y,N,N,3699475200
37,38,1083060338,F,I,292141,F,606063,3667420800,169.5509632567094,168.46739724519438,Y,Y,Y,N,3699475200
38,39,1493028338,F,L,232807,D,373933,3623443200,249.8100491408148,654.3481020636433,Y,Y,N,Y,3699475200
39,40,2218356338,F,F,135057,E,814507,3352233600,987.9511097641341,1905.0844765001136,Y,N,N,N,3699475200
40,41,1902996338,F,I,230881,F,30103,3370464000,1591.4769648400954,168.71254508699747,N,Y,N,N,3699475200
41,42,3006756338,M,F,66823,G,14763,3481142400,295.2471591141553,372.2176418710335,N,Y,Y,N,3699475200
42,43,1398420338,M,D,800131,A,30451,3512419200,2243.774319174487,1789.5624741843476,N,N,Y,N,3699475200
43,44,2123748338,M,J,867693,F,60271,3395174400,211.58772728132962,2241.625953388251,Y,N,Y,N,3699475200
44,45,2754468338,M,B,572293,L,40201,3306268800,909.7579537851813,428.1021217831184,Y,N,Y,Y,3699475200
45,46,1556100338,F,J,737023,E,782341,3450384000,11.306140601922461,408.5888623477418,N,N,N,N,3699475200
46,47,2186820338,F,E,899653,L,127093,3593980800,132.47057007862378,35.453130816147215,N,N,Y,Y,3699475200
47,48,1335348338,F,K,93331,J,506233,3422995200,-19.78260247815782,941.3678337979643,Y,N,Y,Y,3699475200
48,49,1524564338,M,I,77563,F,60271,3600028800,1099.409501325509,233.80671399957944,Y,Y,N,N,3699475200
49,50,1902996338,M,D,135057,G,111891,3425846400,619.1938027470284,257.2940159923305,N,N,Y,Y,3699475200
